Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/v1/retrieve/Observation?_id=006e8e12095953438cbb0a2c140aa11f31f2e92d66cb83dd9566bdd8,1,0,29544.20441100956,29544.20441100956,29544.20441100956,29544.20441100956,1549.0,0.0008360533767373236,0.0,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000
GET,GET /api/v1/retrieve/Observation?_id=00706d143d86e049d89a0281bd41d6078436f4df1458ed8878d284e4,1,0,21324.26985600614,21324.26985600614,21324.26985600614,21324.26985600614,1549.0,0.0008360533767373236,0.0,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000
GET,GET /api/v1/retrieve/Observation?_id=00754531b860b8a889d2fcd94be899ddca1eb377d855c1a91b181e4b,1,0,31863.01704100333,31863.01704100333,31863.01704100333,31863.01704100333,1549.0,0.0008360533767373236,0.0,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000
GET,GET /api/v1/retrieve/Observation?_id=0077176e2fa32311f47d352952a125bfd951e330880a99b9cef819bb,1,0,31136.90871700237,31136.90871700237,31136.90871700237,31136.90871700237,1549.0,0.0008360533767373236,0.0,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000
GET,GET /api/v1/retrieve/Observation?_id=0077d1fc3f711dc256cd28aa46fc0cd4524673fee485ff726387f175,1,0,9268.353286010097,9268.353286010097,9268.353286010097,9268.353286010097,1549.0,0.0008360533767373236,0.0,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300
GET,GET /api/v1/retrieve/Observation?_id=007d150a91bddf79143086f795b698c9f732bcfe184f00a88fc5cb7b,1,0,27666.296238006908,27666.296238006908,27666.296238006908,27666.296238006908,1549.0,0.0008360533767373236,0.0,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000,28000
GET,GET /api/v1/retrieve/Observation?_id=007df488ab19897a7382b5ddb0ff9c465547b4a0fe8600e1d8ce7e53,1,1,1118.136652992689,1118.136652992689,1118.136652992689,1118.136652992689,36.0,0.0008360533767373236,0.0008360533767373236,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,GET /api/v1/retrieve/Observation?_id=007ef73c2942cbe147c842280abee6ef708d22f776aaf8881ac67045,1,0,16917.577154003084,16917.577154003084,16917.577154003084,16917.577154003084,1549.0,0.0008360533767373236,0.0,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000,17000
GET,GET /api/v1/retrieve/Observation?_id=0087548fb53db6240d788f596ee6ed63d32f6e17c53762a498e352f7,1,0,37852.19888899883,37852.19888899883,37852.19888899883,37852.19888899883,1549.0,0.0008360533767373236,0.0,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000,38000
GET,GET /api/v1/retrieve/Observation?_id=0087e1025e8cdf2841f2a0446d2041d3c19706f5043d372e5c6bd263,1,0,34303.22934700234,34303.22934700234,34303.22934700234,34303.22934700234,1549.0,0.0008360533767373236,0.0,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000
GET,GET /api/v1/retrieve/Observation?_id=0089f1fa56df41f792900fd9fbaf6d01b0bdb7da6b854c8a6013200e,1,0,25363.336895010434,25363.336895010434,25363.336895010434,25363.336895010434,1549.0,0.0008360533767373236,0.0,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
GET,GET /api/v1/retrieve/Observation?_id=008a74c8df04cbe3d4efc254324900e84c2db1ec29fd13c2802666b5,1,0,5974.816182992072,5974.816182992072,5974.816182992072,5974.816182992072,1549.0,0.0008360533767373236,0.0,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
GET,GET /api/v1/retrieve/Observation?_id=008b70a28aefafc51f244910f98c340ec926d6a32369915e7e60973a,1,0,30518.137524006306,30518.137524006306,30518.137524006306,30518.137524006306,1549.0,0.0008360533767373236,0.0,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000
GET,GET /api/v1/retrieve/Observation?_id=0090d076b2fb104ec8c4b3e0c84799a477020d2a65bdf4e243af34d7,1,0,3755.745034010033,3755.745034010033,3755.745034010033,3755.745034010033,1549.0,0.0008360533767373236,0.0,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800
GET,GET /api/v1/retrieve/Observation?_id=0091fa502de01dc6a05020c5f9c998f207cef84eb4d1ee42c0917e34,1,0,32622.67621399951,32622.67621399951,32622.67621399951,32622.67621399951,1549.0,0.0008360533767373236,0.0,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000,33000
GET,GET /api/v1/retrieve/Observation?_id=00920a0fe6fa22b89bc779eafc36f950820e0f8f8ab1c6feb3563025,1,0,19618.164978004643,19618.164978004643,19618.164978004643,19618.164978004643,1549.0,0.0008360533767373236,0.0,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
GET,GET /api/v1/retrieve/Observation?_id=0093709925b50f4eb13addc04f5ec6b8d9b4d109370f8335f0e4d460,1,0,280.837952013826,280.837952013826,280.837952013826,280.837952013826,1549.0,0.0008360533767373236,0.0,280,280,280,280,280,280,280,280,280,280,280
GET,GET /api/v1/retrieve/Observation?_id=009994c7c2ffd9f1e4a0e5488dbaa106f54c8ede683308eb98c1f0fa,1,0,445.07523099309765,445.07523099309765,445.07523099309765,445.07523099309765,1549.0,0.0008360533767373236,0.0,450,450,450,450,450,450,450,450,450,450,450
GET,GET /api/v1/retrieve/Observation?_id=009a556790791082884e1e2274ccd8abc5a7e84a8cbd63c93a996c9d,1,0,801.5930069959722,801.5930069959722,801.5930069959722,801.5930069959722,1549.0,0.0008360533767373236,0.0,800,800,800,800,800,800,800,800,800,800,800
GET,GET /api/v1/retrieve/Observation?_id=009b1c125ad827452165081913d5c974a39764022f5e0680aec82936,1,0,34398.80922200973,34398.80922200973,34398.80922200973,34398.80922200973,1549.0,0.0008360533767373236,0.0,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000
GET,GET /api/v1/retrieve/Observation?_id=009c9c28b98520cbed5004073cbc2e56e836e51beb11a3300bf66fc5,1,0,8941.342733000056,8941.342733000056,8941.342733000056,8941.342733000056,1549.0,0.0008360533767373236,0.0,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900
GET,GET /api/v1/retrieve/Observation?_id=009f88227089781ae39a608c24d4c0a88322fec58f1c83177332265b,1,0,19273.739960000967,19273.739960000967,19273.739960000967,19273.739960000967,1549.0,0.0008360533767373236,0.0,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000,19000
GET,GET /api/v1/retrieve/Observation?_id=00a29c24ad74a3248c41cb5088be598e414355b5eb87af0d0871190b,1,0,32328.844269999536,32328.844269999536,32328.844269999536,32328.844269999536,1549.0,0.0008360533767373236,0.0,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000
GET,GET /api/v1/retrieve/Observation?_id=00a46651318832e47a9a1b3aaa1388527691baff07fb012bd20d9c19,1,0,22021.07273299771,22021.07273299771,22021.07273299771,22021.07273299771,1549.0,0.0008360533767373236,0.0,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
GET,GET /api/v1/retrieve/Observation?_id=00ab66443ce1456e7974b213901908ca24ead0e679d6c531485319df,1,0,26121.91201800306,26121.91201800306,26121.91201800306,26121.91201800306,1549.0,0.0008360533767373236,0.0,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000
GET,GET /api/v1/retrieve/Observation?_id=00afbc208c1801e70c146464c0ac661416bba9cb9fae10f495d6d557,1,0,27353.70474899537,27353.70474899537,27353.70474899537,27353.70474899537,1549.0,0.0008360533767373236,0.0,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000
GET,GET /api/v1/retrieve/Observation?_id=00ba52d6bad03eef55b17b7dc3534406e286abe8cfad3f0925dda81a,1,0,39457.919667998794,39457.919667998794,39457.919667998794,39457.919667998794,1549.0,0.0008360533767373236,0.0,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000,39000
GET,GET /api/v1/retrieve/Observation?_id=00ba959ab86811ccdca656108d8cb3808b2348078ce5006ceec32fd7,1,0,37461.95188899583,37461.95188899583,37461.95188899583,37461.95188899583,1549.0,0.0008360533767373236,0.0,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000
